Title,Date + Happiness + Progress,🍳 Eat Breakfast,⏩ Assignment,💪🏼 Exercise,🧘‍♂️ Meditate,✍🏻 Write,📚Coursera,Wake Up Time,Multiplier,Completion %,Difficulty #,--- Admin ---,Show?,# of Habits,Progress Bar,Reward Purchased?,Tag,⭐ Effectiveness,😁 Happiness
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv,,
