Title,Date + Happiness + Progress,🍳 Eat Breakfast,⏩ Audiobook,💪🏼 Exercise,🧘‍♂️ Meditate,✍🏻 Write,📚Coursera,Wake Up Time,Multiplier,Completion %,Difficulty #,--- Admin ---,Show?,# of Habits,Progress Bar,Reward Purchased?,Tag,⭐ Effectiveness,😁 Happiness
"@September 24, 2020 ",Sep 24 | 🚨,Yes,No,No,No,Yes,No,"September 24, 2020",4,50,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■■■□□□□□ 50%,,,⭐️⭐️⭐️⭐️,😄
"@September 23, 2020 ",Sep 23 | 🚨,Rajama,No,No,No,Yes,Yes,"September 23, 2020",5,63,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■■■■□□□□ 63%,,,⭐️⭐️⭐️⭐️,🙂
"@September 21, 2020 ",Sep 21 | 🚨,Dal Roti,No,No,No,No,Yes,"September 21, 2020",4,50,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■■■□□□□□ 50%,,,⭐️⭐️⭐️⭐️,🙂
"@September 19, 2020 ",Sep 19 | 🚨,Namkeen Saviyan,No,No,No,No,No,"September 19, 2020",3,38,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■□□□□□□□ 38%,,,⭐️⭐️⭐️⭐️,😄
"@September 18, 2020 ",Sep 18 | 🚨,Parantha with Choole,No,No,No,No,No,"September 18, 2020",3,38,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■□□□□□□□ 38%,,,⭐️⭐️⭐️,🙂
"@September 17, 2020 ",Sep 17 | 🚨,Chapti with dahi,Yes,No,No,No,No,"September 17, 2020",4,50,0,--- Ignore the below unless you know what you are doing ---,No,8,■■■■■□□□□□ 50%,,,⭐️⭐️,🙂
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,
