Title,# of Habits,--- Admin ---,Completion %,Date + Happiness + Progress,Difficulty #,Multiplier,Progress Bar,Reward Purchased?,Show?,Tag,Wake Up Time,⏩ Audiobook,✍🏻 Write,⭐ Effectiveness,🍳 Eat Breakfast,💪🏼 Exercise,📚Coursera,😁 Happiness,🧘‍♂️ Meditate
"@September 24, 2020 ",8,--- Ignore the below unless you know what you are doing ---,50,Sep 24 | 🚨,0,4,■■■■■□□□□□ 50%,,No,,"September 24, 2020",No,Yes,⭐️⭐️⭐️⭐️,Yes,No,No,😄,No
"@September 23, 2020 ",8,--- Ignore the below unless you know what you are doing ---,63,Sep 23 | 🚨,0,5,■■■■■■□□□□ 63%,,No,,"September 23, 2020",No,Yes,⭐️⭐️⭐️⭐️,Rajama,No,Yes,🙂,No
"@September 21, 2020 ",8,--- Ignore the below unless you know what you are doing ---,50,Sep 21 | 🚨,0,4,■■■■■□□□□□ 50%,,No,,"September 21, 2020",No,No,⭐️⭐️⭐️⭐️,Dal Roti,No,Yes,🙂,No
"@September 19, 2020 ",8,--- Ignore the below unless you know what you are doing ---,38,Sep 19 | 🚨,0,3,■■■□□□□□□□ 38%,,No,,"September 19, 2020",No,No,⭐️⭐️⭐️⭐️,Namkeen Saviyan,No,No,😄,No
"@September 18, 2020 ",8,--- Ignore the below unless you know what you are doing ---,38,Sep 18 | 🚨,0,3,■■■□□□□□□□ 38%,,No,,"September 18, 2020",No,No,⭐️⭐️⭐️,Parantha with Choole,No,No,🙂,No
"@September 17, 2020 ",8,--- Ignore the below unless you know what you are doing ---,50,Sep 17 | 🚨,0,4,■■■■■□□□□□ 50%,,No,,"September 17, 2020",Yes,No,⭐️⭐️,Chapti with dahi,No,No,🙂,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,../Gamification%20Tags%20efda9e4294184ed1b0c82a40e8c9dcf1/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20d9749794d71945bc8f8e99ed6895c85e.csv,,No,No,,,No,No,,No
