Title,Date + Happiness + Progress,🍳 Eat Breakfast,⏩ Audiobook,💪🏼 Exercise,🧘‍♂️ Meditate,✍🏻 Write,📚Coursera,Wake Up Time,Multiplier,Completion %,Difficulty #,--- Admin ---,Show?,# of Habits,Progress Bar,Reward Purchased?,Tag,⭐ Effectiveness,😁 Happiness
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
," | 🚨",,No,No,No,No,No,,0,0,0,--- Ignore the below unless you know what you are doing ---,No,8,□□□□□□□□□□ 0%,,Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,
