Title,# of Habits,--- Admin ---,Completion %,Date + Happiness + Progress,Difficulty #,Multiplier,Progress Bar,Reward Purchased?,Show?,Tag,Wake Up Time,⏩ Audiobook,✍🏻 Write,⭐ Effectiveness,🍳 Eat Breakfast,💪🏼 Exercise,📚Coursera,😁 Happiness,🧘‍♂️ Meditate
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,,,No,No,,,No,No,,No
,8,--- Ignore the below unless you know what you are doing ---,0," | 🚨",0,0,□□□□□□□□□□ 0%,,No,#theGamificationProject%208323a931cdcb4680b52eef6d9f3fd7eb/Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv,,No,No,,,No,No,,No
